ธนาคารแห่งประเทศไทย EC_EI_027 : เครื่องชี้เศรษฐกิจมหภาคของไทย 1/ ปรับปรุงล่าสุด : 30 ก.ย. 2567 14:30 วันที่เรียกข้อมูล : 30 ก.ย. 2567 20:19 ,Unnamed: 1,2522 ,2523 ,2524 ,2525 ,2526 ,2527 ,2528 ,2529 ,2530 ,2531 ,2532 ,2533 ,2534 ,2535 ,2536 ,2537 ,2538 ,2539 ,2540 ,2541 ,2542 ,2543 ,2544 ,2545 ,2546 ,2547 ,2548 ,2549 ,2550 ,2551 ,2552 ,2553 ,2554 ,2555 ,2556 ,2557 ,2558 ,2559 ,2560 ,2561 r,2562 r,2563 r,2564 r,2565 p,2566 p,2567 p
43,   6.1 ปริมาณเงินความหมายแคบ (พันล้านบาท),,,,,,,,,,,,,,,,,,,415.3,404.4,562.8,504.4,567.8,656.3,750.0,829.3,889.7,910.6,998.9,"1,040.1","1,173.8","1,301.7","1,413.5","1,597.1","1,661.3","1,682.5","1,778.1","1,864.2","2,038.9","2,095.2","2,214.4","2,529.8","2,883.7","2,973.8","3,100.2","3,045.9"
44,     (% การเปลี่ยนแปลง),,,,,,,,,,,,,,,,,,,,-2.6,39.2,-9.5,11.5,15.6,14.3,10.6,7.3,2.3,9.7,4.1,12.9,10.9,8.6,13.0,4.0,1.3,5.7,4.8,9.4,2.8,5.7,14.2,14.0,3.1,4.2,3.8
45,   6.2 ปริมาณเงินความหมายกว้าง (พันล้านบาท),,,,,,,,,,,,,,,,,,,"5,266.8","5,742.4","5,828.7","6,056.3","6,404.1","6,488.1","7,062.1","7,470.9","7,926.4","8,572.5","9,108.5","9,943.2","10,616.2","11,778.1","13,559.1","14,965.7","16,062.2","16,809.0","17,554.6","18,295.7","19,212.9","20,109.6","20,841.0","22,958.4","24,061.6","25,001.9","25,481.7","25,563.7"
46,      (% การเปลี่ยนแปลง),,,,,,,,,,,,,,,,,,,,9.3,1.5,3.9,5.7,1.3,6.2,5.8,6.1,8.2,6.3,9.2,6.8,10.9,15.1,10.4,7.3,4.6,4.4,4.2,5.0,4.7,3.6,10.2,4.8,3.9,2.0,2.6
47,   6.3 สิทธเรียกร้องในประเทศ : รวมเงินลงทุน (% การเปลี่ยนแปลง),,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.6,1.1,3.9,7.7,4.7,10.0,16.0,15.2,7.9,5.3,5.2,4.5,4.7,4.8,2.7,7.5,9.4,4.3,4.2,1.9
48,      สิทธิเรียกร้องจากภาคธุรกิจที่ไม่ใช่สถาบันการเงิน และภาคครัวเรือนและสถาบันไม่แสวงหากำไร (% การเปลี่ยนแปลง) 8/,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.0,3.0,3.3,7.5,3.5,12.0,17.0,14.6,9.6,4.7,5.6,4.2,4.6,5.8,2.4,4.5,4.5,2.5,1.6,0.6
49,   6.4 เงินรับฝากของสถาบันรับฝากเงินอื่น (% การเปลี่ยนแปลง) 9/,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.8,7.3,2.3,8.5,5.5,8.7,10.1,23.0,9.2,4.7,5.1,3.8,5.1,4.7,3.9,9.9,4.5,4.5,1.5,2.2
50,   6.5 อัตราดอกเบี้ย (ณ สิ้นปี) 10/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,      6.5.1 ลูกค้าชั้นดี MLR : ต่ำสุด,14.5,16.5,17.0,16.0,15.5,16.5,15.5,12.0,11.5,12.0,12.5, 16.25 , 14.00 , 11.50 , 10.50 , 11.75 , 13.75 , 13.00 , 15.25 , 11.50 , 8.25 , 7.50 , 7.00 , 6.50 , 5.50 , 5.50 , 6.50 , 7.50 , 6.85 , 6.75 , 5.85 , 6.12 , 7.25 , 7.00 , 6.75 , 6.75 , 6.50 , 6.25 , 6.03 , 6.03 , 6.00 , 5.25 , 5.25 , 5.33 , 6.70 , 7.05 
52,                ลูกค้าชั้นดี MLR : สูงสุด,14.5,16.5,17.0,16.0,16.5,16.5,15.5,12.25,11.5,12.0,13.5, 16.25 , 14.00 , 11.50 , 10.50 , 11.75 , 13.75 , 13.25 , 15.25 , 12.00 , 8.50 , 8.25 , 7.50 , 7.00 , 5.75 , 5.75 , 6.75 , 8.00 , 7.13 , 7.00 , 6.25 , 6.50 , 7.63 , 7.38 , 7.25 , 7.13 , 6.85 , 6.60 , 6.60 , 6.60 , 6.35 , 5.58 , 5.58 , 5.67 , 6.96 , 7.28 
